Structural element,type of structure,type of restraint,wall thickness [m],wall length [m],wall height [m],foundation depth [m],foundation width [m],L/H,Aw [m2],Af [m2],Aw/Af,Iw [m4],If [m4],Iw/If,cement type,cement amount [kg/m3],aggregate type,concrete class,fcm measured [MPa],concrete cover [mm],reinforcement diameter [mm],reinforcement spacing [mm],modulus of elasticity of steel [GPa],reinforcement ratio [%],wall curvature [1/m],no. of cracks,crack width range [mm],maximum crack width [mm],,,,,
frame bridge #2 abutment #2 segment 1,bridge,base + top,0.7,24,4.6,0.9,3,5.22,3.22,2.70,1.19,5.68,0.18,31.15,CEM I 52.5N,380,crushed,C35/45,,50,12,100,200,0.32,0,0,0,0,,,,,
frame bridge #2 abutment #2 segment 2,bridge,base + 1 side + top,0.7,23,4.6,0.9,3,5.00,3.22,2.70,1.19,5.68,0.18,31.15,CEM I 52.5N,380,crushed,C35/45,,50,12,100,200,0.32,0,4,"0,3-0,4",0.4,,,,,
frame bridge #2 abutment #2 segment 3,bridge,base + top,0.7,24,4.6,0.9,3,5.22,3.22,2.70,1.19,5.68,0.18,31.15,CEM I 52.5N,380,crushed,C35/45,,50,12,100,200,0.32,0,1,0.1,0.1,,,,,
frame bridge #2 abutment #2 segment 4,bridge,base + 1 side + top,0.7,23,4.6,0.9,3,5.00,3.22,2.70,1.19,5.68,0.18,31.15,CEM I 52.5N,380,crushed,C35/45,,50,12,100,200,0.32,0,2,0.4,0.4,,,,,
frame bridge #3 abutment #1 segment 1,bridge,base + top,0.75,25.2,2.53,0.9,4,9.96,1.90,3.60,0.53,1.01,0.24,4.17,CEM I 52.5N,380,crushed,C35/45,,50,22.64,75,200,1.43,0,4,"0,1-0,3",0.3,,,,,
frame bridge #3 abutment #1 segment 2,bridge,base + 1 side + top,0.75,25.2,2.53,0.9,4,9.96,1.90,3.60,0.53,1.01,0.24,4.17,CEM I 52.5N,380,crushed,C35/45,,50,22.64,75,200,1.43,0,6,"0,1-0,3",0.3,,,,,
frame bridge #3 abutment #2 segment 1,bridge,base + top,0.75,25.2,2.53,0.9,4,9.96,1.90,3.60,0.53,1.01,0.24,4.17,CEM I 52.5N,380,crushed,C35/45,,50,22.64,75,200,1.43,0,3,0.1,0.1,,,,,
frame bridge #3 abutment #2 segment 2,bridge,base + 1 side + top,0.75,25.2,2.53,0.9,4,9.96,1.90,3.60,0.53,1.01,0.24,4.17,CEM I 52.5N,380,crushed,C35/45,,50,22.64,75,200,1.43,0,5,"0,1-0,2",0.2,,,,,
frame bridge #4 abutment #1 segment 1,bridge,base + top,0.75,20.09,5.2,0.9,4,3.86,3.90,3.60,1.08,8.79,0.24,36.16,CEM I 52.5N,380,crushed,C35/45,,50,25,150,200,0.87,0,6,"0,1-0,3",0.3,,,,,
frame bridge #4 abutment #1 segment 2,bridge,base + 1 side + top,0.75,20.09,5.2,0.9,4,3.86,3.90,3.60,1.08,8.79,0.24,36.16,CEM I 52.5N,380,crushed,C35/45,,50,25,150,200,0.87,0,7,"0,1-0,3",0.3,,,,,
frame bridge #4 abutment #2 segment 1,bridge,base + top,0.75,20.09,5.2,0.9,4,3.86,3.90,3.60,1.08,8.79,0.24,36.16,CEM I 52.5N,380,crushed,C35/45,,50,25,150,200,0.87,0,6,"0,1-0,2",0.2,,,,,
frame bridge #4 abutment #2 segment 2,bridge,base + 1 side + top,0.75,20.09,5.2,0.9,4,3.86,3.90,3.60,1.08,8.79,0.24,36.16,CEM I 52.5N,380,crushed,C35/45,,50,25,150,200,0.87,0,7,"0,1-0,3",0.3,,,,,
frame bridge #5 abutment #1 segment 1,bridge,base + top,0.9,22.79,5.35,0.9,4,4.26,4.82,3.60,1.34,11.48,0.24,47.26,CEM I 52.5N,380,crushed,C35/45,,50,25,125,200,0.87,0,11,"0,1-0,3",0.3,,,,,
frame bridge #5 abutment #1 segment 2,bridge,base + 1 side + top,0.9,25.79,5.35,0.9,4,4.82,4.82,3.60,1.34,11.48,0.24,47.26,CEM I 52.5N,380,crushed,C35/45,,50,25,125,200,0.87,0,17,"0,1-0,4",0.4,,,,,
frame bridge #5 abutment #2 segment 1,bridge,base + top,0.9,22.79,5.35,0.9,4,4.26,4.82,3.60,1.34,11.48,0.24,47.26,CEM I 52.5N,380,crushed,C35/45,,50,25,125,200,0.87,0,10,"0,1-0,4",0.4,,,,,
frame bridge #5 abutment #2 segment 2,bridge,base + 1 side + top,0.9,25.79,5.35,0.9,4,4.82,4.82,3.60,1.34,11.48,0.24,47.26,CEM I 52.5N,380,crushed,C35/45,,50,25,125,200,0.87,0,16,"0,1-0,4",0.4,,,,,
frame bridge #6 abutment #1 segment 1,bridge,base + top,0.75,21.69,5.6,0.9,4,3.87,4.20,3.60,1.17,10.98,0.24,45.17,CEM I 52.5N,380,crushed,C35/45,,50,20,75,200,1.12,0,3,"0,2-0,3",0.3,,,,,
frame bridge #6 abutment #1 segment 2,bridge,base + 1 side + top,0.75,21.69,5.6,0.9,4,3.87,4.20,3.60,1.17,10.98,0.24,45.17,CEM I 52.5N,380,crushed,C35/45,,50,20,75,200,1.12,0,7,"0,2-0,3",0.3,,,,,
frame bridge #6 abutment #2 segment 1,bridge,base + top,0.75,21.69,5.6,0.9,4,3.87,4.20,3.60,1.17,10.98,0.24,45.17,CEM I 52.5N,380,crushed,C35/45,,50,20,75,200,1.12,0,2,"0,1-0,2",0.2,,,,,
frame bridge #6 abutment #2 segment 2,bridge,base + 1 side + top,0.75,21.69,5.6,0.9,4,3.87,4.20,3.60,1.17,10.98,0.24,45.17,CEM I 52.5N,380,crushed,C35/45,,50,20,75,200,1.12,0,7,"0,2-0,3",0.3,,,,,
frame bridge #7 abutment #2 segment 1,bridge,base + top,0.75,21.1,5.5,0.9,4.5,3.84,4.13,4.05,1.02,10.40,0.27,38.04,CEM I 52.5N,380,crushed,C35/45,,50,22.64,75,200,1.43,0,0,0,0,,,,,
